緒	绪	xù	beginnings/clues/mental state/thread
光緒	光绪	Guāng xù	reign name of penultimate Qing emperor Guangxu or Guang-hsu (1875-1908)
光緒帝	光绪帝	Guāng xù dì	Guangxu Emperor
別緒	别绪	bié xù	emotions at time of parting
千頭萬緒	千头万绪	qiān tóu wàn xù	plethora of things to tackle/multitude of loose ends/very complicated/chaotic
執行緒	执行绪	zhí xíng xù	(Tw) (computing) thread
就緒	就绪	jiù xù	to be ready/to be in order
心緒	心绪	xīn xù	state of mind/mood
心緒不佳	心绪不佳	xīn xù bù jiā	out of sorts/gloomy
心緒不寧	心绪不宁	xīn xù bù níng	unquiet state of mind
思緒	思绪	sī xù	train of thought/emotional state/mood/feeling
情緒	情绪	qíng xù	mood/state of mind/moodiness/CL:種|种[zhǒng]
情緒化	情绪化	qíng xù huà	emotional/sentimental
情緒商數	情绪商数	qíng xù shāng shù	emotional quotient (EQ)/emotional IQ
情緒智商	情绪智商	qíng xù zhì shāng	emotional intelligence (EQ)
情緒狀態	情绪状态	qíng xù zhuàng tài	emotional state
愁緒	愁绪	chóu xù	melancholy
意第緒語	意第绪语	Yì dì xù yǔ	Yiddish language
殷弘緒	殷弘绪	Yīn Hóng xù	François Xavier d'Entrecolles (1664-1741), French Jesuit missionary to Kangxi court
民族主義情緒	民族主义情绪	mín zú zhǔ yì qíng xù	nationalist feelings/nationalist sentiment
端緒	端绪	duān xù	start and development/thread (of a story)/general outline/clue
索緒爾	索绪尔	Suǒ xù ěr	Saussure (name)
一切就緒	一切就绪	yī qiè jiù xù	everything in its place and ready (idiom)
緒言	绪言	xù yán	see 緒論|绪论[xù lùn]
緒論	绪论	xù lùn	introduction/introductory chapter
自卑情緒	自卑情绪	zì bēi qíng xù	inferiority complex
離情別緒	离情别绪	lí qíng bié xù	sad feeling at separation (idiom)
頭緒	头绪	tóu xù	outline/main threads
餘緒	余绪	yú xù	vestigial residue/a throwback (to a former age)
鬧情緒	闹情绪	nào qíng xù	to be in a bad mood
