茲	兹	zī	now/here/this/time/year
傑佛茲	杰佛兹	Jié fó zī	(James) Jeffords (1934-), former US Senator from Vermont
利茲	利兹	Lì zī	Leeds
加茲尼	加兹尼	Jiā zī ní	Ghazni (Afghan province)
加茲尼省	加兹尼省	Jiā zī ní shěng	Ghazni or Ghaznah province of Afghanistan
匹茲堡	匹兹堡	Pǐ zī bǎo	Pittsburgh (Pennsylvania)
千赫茲	千赫兹	qiān hè zī	kilohertz/kHz
圖盧茲	图卢兹	Tú lú zī	Toulouse (city in France)
埃克托·柏遼茲	埃克托·柏辽兹	Āi kè tuō · Bó liáo zī	Hector Berlioz (1803-1869), French romantic composer, author of Symphonie Fantastique
培勒茲	培勒兹	Péi lè zī	Perez (name)
基布茲	基布兹	jī bù zī	kibbutz
尼米茲	尼米兹	Ní mǐ zī	Chester William Nimitz (1885-1966), US admiral
尼米茲號	尼米兹号	Ní mǐ zī Hào	Nimitz class, US nuclear-powered aircraft carrier, 8 in commission since 1975
弗蘭茲	弗兰兹	Fú lán zī	Franz (name)
德勒茲	德勒兹	Dé lè zī	Gilles Deleuze (1925-1995), French philosopher
念茲在茲	念兹在兹	niàn zī zài zī	see 念念不忘[niàn niàn bù wàng]
愛德華茲	爱德华兹	Ài dé huá zī	Edwards (name)
拉茲莫夫斯基	拉兹莫夫斯基	Lā zī mò fū sī jī	Razumovsky (name)/Prince Andrey Kirillovich Razumovsky (1752-1836), Russian diplomat
捷爾梅茲	捷尔梅兹	Jié ěr méi zī	Termez city in southeast Uzbekistan
普立茲獎	普立兹奖	Pǔ lì zī Jiǎng	Pulitzer Prize (Tw)
柏遼茲	柏辽兹	Bó liáo zī	Hector Berlioz (1803-1869), French romantic composer, author of Symphonie Fantastique
格羅茲尼	格罗兹尼	Gé luó zī ní	Grozny, capital of Chechen Republic, Russia
比埃茲巴伯	比埃兹巴伯	Bǐ āi zī bā bó	Beelzebub
法茲魯拉	法兹鲁拉	Fǎ zī lǔ lā	Maulana Fazlullah, Pakistan Taleban leader
波茲南	波兹南	Bō zī nán	Poznan (city in Poland)
波茲坦	波兹坦	Bō zī tǎn	Potsdam, Germany
波茲曼	波兹曼	Bō zī màn	Ludwig Boltzmann (1844-1906), Austrian physicist and philosopher
泰格·伍茲	泰格·伍兹	Tài gé · Wǔ zī	Eldrick "Tiger" Woods (1975-), American golfer
洛佩茲	洛佩兹	Luò pèi zī	Lopez (name)
烏茲別克	乌兹别克	Wū zī bié kè	Uzbek/abbr. for Uzbekistan
烏茲別克人	乌兹别克人	Wū zī bié kè rén	Uzbek (person)
烏茲別克斯坦	乌兹别克斯坦	Wū zī bié kè sī tǎn	Uzbekistan
烏茲別克族	乌兹别克族	Wū zī bié kè zú	the Uzbek people (race)
烏茲衝鋒槍	乌兹冲锋枪	Wū zī chōng fēng qiāng	Uzi (submachine gun)
玻爾茲曼	玻尔兹曼	Bō ěr zī màn	Ludwig Boltzmann (1844-1906), Austrian physicist and philosopher
瓦杜茲	瓦杜兹	Wǎ dù zī	Vaduz, capital of Liechtenstein
瓦都茲	瓦都兹	Wǎ dū zī	Vaduz, capital of Liechtenstein (Tw)
畢茲	毕兹	bì zī	QNB (quinuclidinyl benzilate)
百萬赫茲	百万赫兹	bǎi wàn hè zī	megahertz (physics, electronics)
索爾茲伯里平原	索尔兹伯里平原	Suǒ ěr zī bó lǐ píng yuán	Salisbury plain
索爾茲伯里石環	索尔兹伯里石环	Suǒ ěr zī bó lǐ shí huán	Stonehenge/Salisbury stone circle
羅茲	罗兹	Luó zī	Łódź, third largest city of Poland
老虎伍茲	老虎伍兹	Lǎo hǔ Wǔ zī	Eldrick "Tiger" Woods (1975-), American golfer
艾茲病	艾兹病	ài zī bìng	AIDS (loanword)/also written 愛滋病|爱滋病
伯利茲	伯利兹	Bó lì zī	Belize
茲事體大	兹事体大	zī shì tǐ dà	this is no small thing (idiom)/to have a serious matter at hand
茲卡病毒	兹卡病毒	Zī kǎ bìng dú	Zika virus (Tw)
茲因	兹因	zī yīn	(formal) whereas/since
茲沃勒	兹沃勒	Zī wò lè	Zwolle (Netherlands)
莫爾茲比港	莫尔兹比港	Mò ěr zī bǐ gǎng	Port Moresby, capital of Papua New Guinea
華爾茲	华尔兹	huá ěr zī	waltz (dance) (loanword)
菲爾茲	菲尔兹	Fēi ěr zī	Fields (name)
