庫	库	kù	warehouse/storehouse/(file) library
伊利埃斯庫	伊利埃斯库	Yī lì āi sī kù	Iliescu
伊爾庫茨克	伊尔库茨克	Yī ěr kù cí kè	Irkutsk
倉庫	仓库	cāng kù	depot/storehouse/warehouse
停車庫	停车库	tíng chē kù	car park
優衣庫	优衣库	Yōu yī kù	Uniqlo, Japanese clothing brand
六庫	六库	Liù kù	Liuku or Lutku, capital of Nujiang Lisu autonomous prefecture 怒江傈僳族自治州 in Yunnan
六庫鎮	六库镇	Liù kù zhèn	Liuku or Lutku, capital of Nujiang Lisu autonomous prefecture 怒江傈僳族自治州 in Yunnan
共享函數庫	共享函数库	gòng xiǎng hán shù kù	shared library (computing)
共享庫	共享库	gòng xiǎng kù	shared library (computing)
共享程序庫	共享程序库	gòng xiǎng chéng xù kù	shared library (computing)
兵庫	兵库	Bīng kù	Hyōgo prefecture in the midwest of Japan's main island Honshū 本州[Běn zhōu]
兵庫縣	兵库县	Bīng kù xiàn	Hyōgo prefecture in the midwest of Japan's main island Honshū 本州[Běn zhōu]
冷凍庫	冷冻库	lěng dòng kù	freezer compartment
函式庫	函式库	hán shì kù	library (partition on computer hard disk)
刀庫	刀库	dāo kù	tool magazine (computer-aided manufacturing)
努庫阿洛法	努库阿洛法	Nǔ kù ā luò fǎ	Nuku'alofa, capital of Tonga
動態鏈接庫	动态链接库	dòng tài liàn jiē kù	dynamic-link library (DLL)/shared library (computing)
四庫	四库	sì kù	the four book depositories, namely: classics 經|经, history 史, philosophy 子[zǐ], belles-lettres 集
四庫全書	四库全书	Sì kù Quán shū	Siku Quanshu (collection of books compiled during Qing dynasty)
國庫	国库	guó kù	public purse/state treasury/national exchequer
國庫券	国库券	guó kù quàn	treasury bond
圖爾庫	图尔库	Tú ěr kù	Turku (city in Finland)
土庫	土库	Tǔ kù	Tuku town in Yunlin county 雲林縣|云林县[Yún lín xiàn], Taiwan
土庫曼	土库曼	Tǔ kù màn	Turkmenistan/Republic of Turkmenistan, former Soviet republic adjoining Iran
土庫曼人	土库曼人	Tǔ kù màn rén	Turkmen (person)
土庫曼斯坦	土库曼斯坦	Tǔ kù màn sī tǎn	Turkmenistan
土庫鎮	土库镇	Tǔ kù zhèn	Tuku town in Yunlin county 雲林縣|云林县[Yún lín xiàn], Taiwan
埃斯庫多	埃斯库多	āi sī kù duō	escudo (Spanish and Portugese: shield), former currency of Portugal and other countries
埃斯庫羅斯	埃斯库罗斯	Āi sī kù luó sī	Aeschylus (c. 524 BC -c. 455 BC), Greek tragedian, author of The Persians, Seven against Thebes etc
基因庫	基因库	jī yīn kù	gene bank
塔什庫爾干塔吉克自治縣	塔什库尔干塔吉克自治县	Tǎ shí kù ěr gān Tǎ jí kè Zì zhì xiàn	Taxkorgan Tajik autonomous county (Tashqurqan Tajik aptonom nahiyisi) in Kashgar prefecture 喀什地區|喀什地区[Kā shí dì qū], west Xinjiang
塔什庫爾干自治縣	塔什库尔干自治县	Tǎ shí kù ěr gān Zì zhì xiàn	Taxkorgan Tajik autonomous county (Tashqurqan Tajik aptonom nahiyisi) in Kashgar prefecture 喀什地區|喀什地区[Kā shí dì qū], west Xinjiang
塔什庫爾干鄉	塔什库尔干乡	Tǎ shí kù ěr gān xiāng	Taxkorgan township in Kashgar prefecture 喀什地區|喀什地区[Kā shí dì qū], west Xinjiang
官廳水庫	官厅水库	Guān tīng Shuǐ kù	Guanting or Kuan-ting Reservoir in Hebei, one of the main water reservoirs serving Beijing
寶庫	宝库	bǎo kù	treasure-house/treasury/treasure-trove (often fig., book of treasured wisdom)
小金庫	小金库	xiǎo jīn kù	supplementary cash reserve/private fund/private hoard/slush fund
尾礦庫	尾矿库	wěi kuàng kù	slag heap/dump of mining waste
巴庫	巴库	Bā kù	Baku, capital of Azerbaijan
府庫	府库	fǔ kù	government treasury
三峽水庫	三峡水库	Sān xiá Shuǐ kù	Three Gorges Reservoir on the Changjiang or Yangtze
庫侖	库仑	Kù lún	Charles-Augustin de Coulomb (1736-1806), French physicist
庫侖	库仑	kù lún	coulomb (unit of electric charge)
庫侖計	库仑计	Kù lún jì	voltameter
庫倫	库伦	Kù lún	Kulun, the former name for modern Ulan Bator, capital of Mongolia (Mongolian: temple)
庫倫	库伦	kù lún	enclosed pasture (Mongolian loanword)
庫倫旗	库伦旗	Kù lún qí	Hure banner or Xüree khoshuu in Tongliao 通遼|通辽[Tōng liáo], Inner Mongolia
庫倫鎮	库伦镇	Kù lún zhèn	Hure town in Tongliao 通遼|通辽[Tōng liáo], Inner Mongolia
庫克	库克	Kù kè	Cook (name)/Captain James Cook (1728-1779), British navigator and explorer
庫克山	库克山	Kù kè shān	Mt Cook on New Zealand South Island, national park and highest peak
庫克群島	库克群岛	Kù kè Qún dǎo	Cook Islands
庫克船長	库克船长	Kù kè chuán zhǎng	Captain James Cook (1728-1779), British navigator and explorer
庫姆	库姆	Kù mǔ	Qom (holy city in Iran)
庫姆塔格沙漠	库姆塔格沙漠	Kù mǔ tǎ gé Shā mò	Kumutage (or Kumtag) Desert, northwestern China
庫存	库存	kù cún	property or cash held in reserve/stock
庫存現金	库存现金	kù cún xiàn jīn	cash in hand
庫工黨	库工党	Kù Gōng dǎng	abbr. for Kurdistan Workers' Party 庫爾德工人黨|库尔德工人党[Kù ěr dé Gōng rén dǎng]
庫布里克	库布里克	Kù bù lǐ kè	Kubrick
庫德	库德	Kù dé	Kurd ethnic group
庫德斯坦	库德斯坦	Kù dé sī tǎn	Kurdistan
庫房	库房	kù fáng	storeroom/warehouse
庫拉索	库拉索	Kù lā suǒ	Curaçao
庫木吐拉千佛洞	库木吐拉千佛洞	Kù mù tǔ lā qiān fó dòng	Kumutula thousand-Buddha grotto in Kuqa, Xinjiang
庫模塊	库模块	kù mó kuài	library module
庫爾	库尔	Kù ěr	Chur (city in Switzerland)
庫爾勒	库尔勒	Kù ěr lè	Korla Shehiri, Korla or Ku'erle City, capital of Bayingolin Mongol Autonomous Prefecture, Xinjiang 巴音郭楞蒙古自治州[Bā yīn guō léng Měng gǔ Zì zhì zhōu], Xinjiang
庫爾勒市	库尔勒市	Kù ěr lè shì	Korla Shehiri, Korla or Ku'erle City, capital of Bayingolin Mongol Autonomous Prefecture, Xinjiang 巴音郭楞蒙古自治州[Bā yīn guō léng Měng gǔ Zì zhì zhōu]
庫爾尼科娃	库尔尼科娃	Kù ěr ní kē wá	Anna Sergeevna Kournikova (1981-), Russian tennis star and glamor model
庫爾德	库尔德	Kù ěr dé	Kurd/Kurdish
庫爾德人	库尔德人	Kù ěr dé rén	Kurdish person or people
庫爾德工人黨	库尔德工人党	Kù ěr dé Gōng rén dǎng	Kurdistan Worker's Party (PPK)
庫爾德斯坦	库尔德斯坦	Kù ěr dé sī tǎn	Kurdistan
庫爾斯克	库尔斯克	Kù ěr sī kè	Kursk (city)
庫爾特·瓦爾德海姆	库尔特·瓦尔德海姆	Kù ěr tè · Wǎ ěr dé hǎi mǔ	Kurt Waldheim (1918-2007), Austrian diplomat and politician, secretary-general of UN 1972-1981, president of Austria 1986-1992
庫珀帶	库珀带	kù pò dài	the Kuiper belt (in the outer reaches of the Solar system)
庫納	库纳	kù nà	kuna (Croatian currency)
庫肯霍夫公園	库肯霍夫公园	Kù kěn huò fū Gōng yuán	Keukenhof, flower garden in Netherlands
庫藏	库藏	kù cáng	to store/to have sth in storage
