昭	昭	zhāo	bright/clear/manifest/to show clearly
司馬昭之心路人皆知	司马昭之心路人皆知	Sī mǎ Zhāo zhī xīn lù rén jiē zhī	lit. Sima Zhao's intentions are obvious to everyone (idiom)/fig. an open secret
唐昭宗	唐昭宗	Táng Zhāo zōng	Emperor Zhaozong of Tang, reign name of twentieth Tang emperor 李曄|李晔[Lī Yè] (867-904), reigned 888-904
大昭寺	大昭寺	Dà zhāo sì	Jokhang, main Buddhist temple in Lhasa, a sacred place of Tibetan Buddhism
小昭寺	小昭寺	Xiǎo zhāo sì	Ramoche Temple, Lhasa
惡名昭彰	恶名昭彰	è míng zhāo zhāng	infamous/notorious
惡名昭著	恶名昭著	è míng zhāo zhù	notorious (idiom)/infamous
司馬昭	司马昭	Sī mǎ Zhāo	Sima Zhao (211-265), military general and statesman of Cao Wei 曹魏[Cáo Wèi]
昭和	昭和	Zhāo hé	Shōwa, Japanese era name, corresponding to the reign (1925-1989) of emperor Hirohito 裕仁[Yù rén]
昭平	昭平	Zhāo píng	Zhaoping county in Hezhou 賀州|贺州[Hè zhōu], Guangxi
昭平縣	昭平县	Zhāo píng xiàn	Zhaoping county in Hezhou 賀州|贺州[Hè zhōu], Guangxi
昭披耶帕康	昭披耶帕康	Zhāo pī yé Pà kāng	Chao Phraya Phra Klang (Royal Finance and External Affairs Minister), the honorary title of the 18th century official of the royal court of Thailand who translated 三國演義|三国演义[Sān guó Yǎn yì] (Romance of the Three Kingdoms) into Thai
昭披耶河	昭披耶河	Zhāo pī yé Hé	Chao Phraya River, the main river of Thailand
昭然若揭	昭然若揭	zhāo rán ruò jiē	abundantly clear
昭示	昭示	zhāo shì	to declare publicly/to make clear
昭蘇	昭苏	Zhāo sū	Zhaosu county or Mongghulküre nahiyisi in Ili Kazakh autonomous prefecture 伊犁哈薩克自治州|伊犁哈萨克自治州[Yī lí Hā sà kè zì zhì zhōu], Xinjiang
昭蘇縣	昭苏县	Zhāo sū xiàn	Zhaosu county or Mongghulküre nahiyisi in Ili Kazakh autonomous prefecture 伊犁哈薩克自治州|伊犁哈萨克自治州[Yī lí Hā sà kè zì zhì zhōu], Xinjiang
昭覺	昭觉	Zhāo jué	Zhaojue county in Liangshan Yi autonomous prefecture 涼山彞族自治州|凉山彝族自治州[Liáng shān Yí zú zì zhì zhōu], south Sichuan
昭覺縣	昭觉县	Zhāo jué xiàn	Zhaojue county in Liangshan Yi autonomous prefecture 涼山彞族自治州|凉山彝族自治州[Liáng shān Yí zú zì zhì zhōu], south Sichuan
昭通	昭通	Zhāo tōng	Zhaotong prefecture level city in Yunnan
昭通地區	昭通地区	Zhāo tōng dì qū	Zhaotong prefecture in Yunnan
昭通市	昭通市	Zhāo tōng shì	Zhaotong prefecture level city in Yunnan
昭陽	昭阳	Zhāo yáng	Zhaoyang district of Zhaotong city 昭通市[Zhāo tōng shì], Yunnan
昭陽區	昭阳区	Zhāo yáng qū	Zhaoyang district of Zhaotong city 昭通市[Zhāo tōng shì], Yunnan
昭雪	昭雪	zhāo xuě	to exonerate/to clear (from an accusation)/to rehabilitate
王昭君	王昭君	Wáng Zhāo jūn	Wang Zhaojun (52-19 BC), famous beauty at the court of Han emperor Yuan 漢元帝|汉元帝[Hàn Yuán dì], one of the four legendary beauties 四大美女[sì dà měi nǚ]
臭名昭彰	臭名昭彰	chòu míng zhāo zhāng	notorious for his misdeeds (idiom)/infamous
臭名昭著	臭名昭著	chòu míng zhāo zhù	notorious/infamous/egregious (bandits)
跌宕昭彰	跌宕昭彰	diē dàng zhāo zhāng	flowing (of prose)/free
