況	况	kuàng	moreover/situation
何況	何况	hé kuàng	let alone/to say nothing of/besides/what's more
健康狀況	健康状况	jiàn kāng zhuàng kuàng	health status
境況	境况	jìng kuàng	circumstances
實況	实况	shí kuàng	live (e.g. broadcast or recording)/what is actually happening/scene/the real situation
實況主	实况主	shí kuàng zhǔ	live vlogger/live-streamer
實況轉播	实况转播	shí kuàng zhuǎn bō	live relay/broadcast of actual scene/to broadcast live
實況錄音	实况录音	shí kuàng lù yīn	live recording
實際情況	实际情况	shí jì qíng kuàng	actual circumstances/the real situation/reality
情況	情况	qíng kuàng	circumstances/state of affairs/situation/CL:個|个[gè],種|种[zhǒng]
慘況	惨况	cǎn kuàng	tragic situation/dreadful state
戰況	战况	zhàn kuàng	battlefield situation/battle progress
景況	景况	jǐng kuàng	circumstances
概況	概况	gài kuàng	general situation/summary
標準狀況	标准状况	biāo zhǔn zhuàng kuàng	standard conditions for temperature and pressure
每下愈況	每下愈况	měi xià yù kuàng	see 每況愈下|每况愈下[měi kuàng yù xià]
每況愈下	每况愈下	měi kuàng yù xià	to steadily deteriorate
氣候狀況	气候状况	qì hòu zhuàng kuàng	climatic conditions/atmospheric conditions
不正常狀況	不正常状况	bù zhèng cháng zhuàng kuàng	abnormal state
況且	况且	kuàng qiě	moreover/besides/in addition/furthermore
況味	况味	kuàng wèi	circumstances/atmosphere/mood
狀況	状况	zhuàng kuàng	condition/state/situation/CL:個|个[gè]
現實情況	现实情况	xiàn shí qíng kuàng	current state/current situation
現況	现况	xiàn kuàng	the current situation
病況	病况	bìng kuàng	state of an illness/patient's condition
盛況	盛况	shèng kuàng	grand occasion
盛況空前	盛况空前	shèng kuàng kōng qián	a magnificent and unprecedented event (idiom)
看情況	看情况	kàn qíng kuàng	depending on the situation
窘況	窘况	jiǒng kuàng	predicament
經濟情況	经济情况	jīng jì qíng kuàng	economic situation/one's socio-economic status
經濟狀況	经济状况	jīng jì zhuàng kuàng	economic situation
自況	自况	zì kuàng	to compare oneself/to view oneself as
苦況	苦况	kǔ kuàng	wretched state/miserable plight
路況	路况	lù kuàng	road condition(s) (e.g. surface, traffic flow etc)
近況	近况	jìn kuàng	recent developments/current situation
運行狀況	运行状况	yùn xíng zhuàng kuàng	operational state/running state
