濃	浓	nóng	concentrated/dense/strong (smell etc)
意式濃縮咖啡	意式浓缩咖啡	Yì shì nóng suō kā fēi	espresso/Italian-style strong coffee
淡妝濃抹	淡妆浓抹	dàn zhuāng nóng mǒ	in light or heavy makeup (idiom)
低濃縮鈾	低浓缩铀	dī nóng suō yóu	low-enriched uranium
濃厚	浓厚	nóng hòu	dense/thick (fog, clouds etc)/to have a strong interest in/deep/fully saturated (color)
濃墨重彩	浓墨重彩	nóng mò zhòng cǎi	thick and heavy in colors/to describe sth in colorful language with attention to detail (idiom)
濃妝	浓妆	nóng zhuāng	heavy makeup and gaudy dress
濃妝艷抹	浓妆艳抹	nóng zhuāng yàn mǒ	to apply makeup conspicuously (idiom)/dressed to the nines and wearing makeup
濃密	浓密	nóng mì	thick/murky
濃度	浓度	nóng dù	concentration (percentage of dissolved material in a solution)/consistency/thickness/density/viscosity
濃淡	浓淡	nóng dàn	shade (of a color, i.e. light or dark)
濃湯	浓汤	nóng tāng	thick soup/puree
濃烈	浓烈	nóng liè	strong (taste, flavor, smell)
濃煙	浓烟	nóng yān	thick smoke
濃眉大眼	浓眉大眼	nóng méi dà yǎn	thick eyebrows and big eyes
濃稠	浓稠	nóng chóu	thick/dense and creamy
濃縮	浓缩	nóng suō	to concentrate (a liquid)/concentration/espresso coffee/abbr. for 意式濃縮咖啡|意式浓缩咖啡
濃縮咖啡	浓缩咖啡	nóng suō kā fēi	espresso
濃縮機	浓缩机	nóng suō jī	a device for concentrating (a liquid)/a condenser
濃縮鈾	浓缩铀	nóng suō yóu	enriched uranium
濃艷	浓艳	nóng yàn	(of colors) garish/rich
濃郁	浓郁	nóng yù	rich/strong/heavy (fragrance)/dense/full-bodied/intense
濃重	浓重	nóng zhòng	dense/thick/strong/rich (colors)/heavy (aroma)/deep (friendship)/profound (effect)
濃集	浓集	nóng jí	to concentrate/to enrich
濃集鈾	浓集铀	nóng jí yóu	enriched uranium
濃霧	浓雾	nóng wù	thick fog
濃香	浓香	nóng xiāng	strong fragrance/pungent
火藥味甚濃	火药味甚浓	huǒ yào wèi shèn nóng	strong smell of gunpowder/fig. tense situation/standoff
甚濃	甚浓	shèn nóng	strong (smell)/thick (fog)
美濃	美浓	Měi nóng	Meinung town in Kaohsiung county 高雄縣|高雄县[Gāo xióng xiàn], southwest Taiwan
美濃鎮	美浓镇	Měi nóng zhèn	Meinung town in Kaohsiung county 高雄縣|高雄县[Gāo xióng xiàn], southwest Taiwan
血濃於水	血浓于水	xuè nóng yú shuǐ	blood is thicker than water/fig. family ties are closer than social relations
鈾濃縮	铀浓缩	yóu nóng suō	uranium enrichment
露華濃	露华浓	Lù huá nóng	Revlon (American brand of cosmetics)
高濃縮鈾	高浓缩铀	gāo nóng suō yóu	highly enriched uranium (HEU)
