爐	炉	lú	stove/furnace
出爐	出炉	chū lú	to take out of the furnace/fresh out of the oven/fig. newly announced/recently made available
反應爐	反应炉	fǎn yìng lú	(nuclear etc) reactor
另起爐灶	另起炉灶	lìng qǐ lú zào	lit. to set up a separate kitchen (idiom); to start from scratch/back to square one/to start of on a new path
司爐	司炉	sī lú	stoker (worker operating a coal fire, esp. for a steam engine)
回爐	回炉	huí lú	to melt down/to remelt (metals)/fig. to acquire new education/to bake again
地爐	地炉	dì lú	fire pit
壁爐	壁炉	bì lú	fireplace
大熔爐	大熔炉	dà róng lú	lit. large smelting furnace/fig. the mixing of different ethnicities and cultures/Melting Pot
大融爐	大融炉	dà róng lú	melting pot
天爐座	天炉座	Tiān lú zuò	Fornax (constellation)
微波爐	微波炉	wēi bō lú	microwave oven/CL:臺|台[tái]
打邊爐	打边炉	dǎ biān lú	(Cantonese) to eat hot pot/hot pot
新出爐	新出炉	xīn chū lú	fresh out of the oven/fig. novelty just announced/recently made available
暖爐	暖炉	nuǎn lú	space heater/radiator
水波爐	水波炉	shuǐ bō lú	superheated steam oven
洪爐	洪炉	hóng lú	great furnace (metaphor for a place where character is forged)
火爐	火炉	huǒ lú	stove
烘爐	烘炉	hōng lú	oven
烤爐	烤炉	kǎo lú	oven (PRC)
焚屍爐	焚尸炉	fén shī lú	crematorium/crematory oven
焦爐	焦炉	jiāo lú	coking furnace
煅爐	煅炉	duàn lú	forge/fig. extremely hot environment
煉丹八卦爐	炼丹八卦炉	liàn dān bā guà lú	eight trigrams furnace to cook pills of immortality/symbol of the alchemist's art/Double, double toil and trouble, Fire burn, and cauldron bubble
煉焦爐	炼焦炉	liàn jiāo lú	coking furnace
熔爐	熔炉	róng lú	smelting furnace/forge
熔礦爐	熔矿炉	róng kuàng lú	furnace
燃煤鍋爐	燃煤锅炉	rán méi guō lú	coal burning boiler
冶煉爐	冶炼炉	yě liàn lú	a furnace for smelting metal
爐子	炉子	lú zi	stove/oven/furnace
爐床	炉床	lú chuáng	hearth
爐架	炉架	lú jià	grate
爐渣	炉渣	lú zhā	furnace slag/ashes from a stove
爐火	炉火	lú huǒ	the fire of a stove
爐火純青	炉火纯青	lú huǒ chún qīng	lit. the stove fire has turned bright green (allusion to Daoist alchemy) (idiom)/fig. (of an art, a technique etc) brought to the point of perfection
爐灶	炉灶	lú zào	stove
爐膛	炉膛	lú táng	furnace chamber/stove chamber
爐臺	炉台	lú tái	stove top/hob
爐邊	炉边	lú biān	fireside
爐霍	炉霍	Lú huò	Luhuo county (Tibetan: brag 'go rdzong) in Garze Tibetan autonomous prefecture 甘孜藏族自治州[Gān zī Zàng zú zì zhì zhōu], Sichuan (formerly in Kham province of Tibet)
爐霍縣	炉霍县	Lú huò xiàn	Luhuo county (Tibetan: brag 'go rdzong) in Garze Tibetan autonomous prefecture 甘孜藏族自治州[Gān zī Zàng zú zì zhì zhōu], Sichuan (formerly in Kham province of Tibet)
爐頂	炉顶	lú dǐng	furnace top
融爐	融炉	róng lú	a smelting furnace/fig. a melting pot
補爐	补炉	bǔ lú	fettling
轉爐	转炉	zhuàn lú	converter (rotary furnace in steelmaking)
重起爐竈	重起炉灶	chóng qǐ lú zào	to start over from scratch (idiom)
鍋爐	锅炉	guō lú	boiler
鎔爐	镕炉	róng lú	variant of 熔爐|熔炉, smelting furnace/forge
開爐	开炉	kāi lú	to open a furnace/to start up a furnace
電爐	电炉	diàn lú	electric stove/hot plate
香爐	香炉	xiāng lú	a censer (for burning incense)/incense burner/thurible
馬丁爐	马丁炉	Mǎ dīng lú	Martin furnace/open hearth furnace/open hearth
高爐	高炉	gāo lú	blast furnace
鼓風爐	鼓风炉	gǔ fēng lú	a blast furnace (in modern times)/a draft assisted furnace for smelting metals
