儉	俭	jiǎn	frugal/thrifty/needy
不儉則匱	不俭则匮	bù jiǎn zé kuì	wastage makes one destitute (idiom)
儉以防匱	俭以防匮	jiǎn yǐ fáng kuì	frugality in order to prevent destitution (idiom)
儉以養廉	俭以养廉	jiǎn yǐ yǎng lián	frugality makes honesty (idiom)
儉則不缺	俭则不缺	jiǎn zé bù quē	frugality prevents destitution (idiom)
儉學	俭学	jiǎn xué	to deny oneself comforts in order to save money for one's education
儉朴	俭朴	jiǎn pǔ	plain and unadorned/thrifty and simple
儉用	俭用	jiǎn yòng	to skimp/to be frugal
儉省	俭省	jiǎn shěng	thrifty/sparing/economical
儉約	俭约	jiǎn yuē	sparing/economical
儉素	俭素	jiǎn sù	thrifty and plain
儉腹	俭腹	jiǎn fù	lit. empty belly/hollow/vacuous/devoid of content
儉薄	俭薄	jiǎn bó	to lack the necessities of life
克儉	克俭	kè jiǎn	thrift/economy
克勤克儉	克勤克俭	kè qín kè jiǎn	to be industrious and frugal (idiom)
勤儉	勤俭	qín jiǎn	hardworking and frugal
勤儉務實	勤俭务实	qín jiǎn wù shí	hardworking, thrifty and pragmatic
勤儉建國	勤俭建国	qín jiǎn jiàn guó	to build up the country through thrift and hard work (idiom)
勤儉持家	勤俭持家	qín jiǎn chí jiā	hardworking and thrifty in running one's household
勤儉樸實	勤俭朴实	qín jiǎn pǔ shí	hardworking, thrifty, plain, and honest (idiom)
勤儉樸素	勤俭朴素	qín jiǎn pǔ sù	hardworking, thrifty, plain, and simple (idiom)
勤儉為服務之本	勤俭为服务之本	qín jiǎn wéi fú wù zhī běn	hardwork and thriftiness are the foundations of service (idiom)
勤儉節約	勤俭节约	qín jiǎn jié yuē	diligent and thrifty (idiom)
勤儉耐勞	勤俭耐劳	qín jiǎn nài láo	diligent and able to endure hardship (idiom)
勤儉起家	勤俭起家	qín jiǎn qǐ jiā	to rise up by thrift and hard work (idiom)
勤儉辦企業	勤俭办企业	qín jiǎn bàn qǐ yè	to run an enterprise diligently and thriftily
勤儉辦學	勤俭办学	qín jiǎn bàn xué	to run a school diligently and thriftily
勤儉辦社	勤俭办社	qín jiǎn bàn shè	to run an organization diligently and thriftily
勤工儉學	勤工俭学	qín gōng jiǎn xué	to work part time while studying/work-study program
奢入儉難	奢入俭难	shē rù jiǎn nán	it is hard to become frugal after becoming accustomed to luxury (idiom)
奢易儉難	奢易俭难	shē yì jiǎn nán	easy to become accustomed to luxury, hard to become accustomed to frugality (idiom)
慳儉	悭俭	qiān jiǎn	to be frugal
戒奢崇儉	戒奢崇俭	jiè shē chóng jiǎn	to refrain from high standard of living (idiom)
治喪從儉	治丧从俭	zhì sàng cóng jiǎn	to be frugal in attending to funeral rites (idiom)
溫良恭儉讓	温良恭俭让	wēn liáng gōng jiǎn ràng	kindhearted and moderate (idiom); temperate and gentle
省儉	省俭	shěng jiǎn	frugal/economic/to scrimp and save
省吃儉用	省吃俭用	shěng chī jiǎn yòng	to live frugally/to economize on food and clothing/to scrimp and save
知慳識儉	知悭识俭	zhī qiān shí jiǎn	to know how to be economical (idiom)
節儉	节俭	jié jiǎn	frugal/economical
自奉儉約	自奉俭约	zì fèng jiǎn yuē	to live frugally (idiom)
自奉甚儉	自奉甚俭	zì fèng shèn jiǎn	to allow oneself few comforts or pleasures (idiom)
豐儉由人	丰俭由人	fēng jiǎn yóu rén	fancy or simple according to sb's budget (idiom)
