靜	静	jìng	still/calm/quiet/not moving
冷靜	冷静	lěng jìng	calm/cool-headed
冷靜期	冷静期	lěng jìng qī	cooling-off period (divorces, purchases, surgeries)
動靜	动静	dòng jìng	(detectable) movement/(sign of) activity/movement and stillness
和靜	和静	Hé jìng	Xéjing nahiyisi or Hejing county in Bayingolin Mongol Autonomous Prefecture, Xinjiang 巴音郭楞蒙古自治州[Bā yīn guō léng Měng gǔ Zì zhì zhōu], Xinjiang
和靜縣	和静县	Hé jìng xiàn	Xéjing nahiyisi or Hejing county in Bayingolin Mongol Autonomous Prefecture, Xinjiang 巴音郭楞蒙古自治州[Bā yīn guō léng Měng gǔ Zì zhì zhōu], Xinjiang
夜深人靜	夜深人静	yè shēn rén jìng	in the dead of night (idiom)
夜闌人靜	夜阑人静	yè lán rén jìng	the still of the night (idiom)/late at night
嫻靜	娴静	xián jìng	gentle and refined
安靜	安静	ān jìng	quiet/peaceful/calm
寂靜	寂静	jì jìng	quiet
寧靜	宁静	níng jìng	tranquil/tranquility/serenity
寧靜致遠	宁静致远	níng jìng zhì yuǎn	tranquility yields transcendence (idiom); quiet life of profound study/cf Still waters run deep.
平靜	平静	píng jìng	tranquil/undisturbed/serene
幽靜	幽静	yōu jìng	quiet/secluded/isolated/peaceful
張靜初	张静初	Zhāng Jìng chū	Zhang Jingchu (1980-), PRC actress
微靜脈	微静脉	wēi jìng mài	capillary vein
心靜	心静	xīn jìng	tranquil/calm
心靜自然涼	心静自然凉	xīn jìng zì rán liáng	a calm heart keeps you cool (idiom)
恬靜	恬静	tián jìng	still/peaceful/quiet
文靜	文静	wén jìng	(of a person's manner or character) gentle and quiet
更深人靜	更深人静	gēng shēn rén jìng	deep at night and all is quiet (idiom)
梁靜茹	梁静茹	Liáng Jìng rú	Fish Leong (1978-), Malaysian pop singer/also Leong Chui Peng or Jasmine Leong
樹欲靜而風不止	树欲静而风不止	shù yù jìng ér fēng bù zhǐ	lit. the trees long for peace but the wind will never cease (idiom)/fig. the world changes, whether you want it or not
沉靜	沉静	chén jìng	peaceful/quiet/calm/gentle
沉靜寡言	沉静寡言	chén jìng guǎ yán	see 沉默寡言[chén mò guǎ yán]
淑靜	淑静	shū jìng	gentle/tender
清靜	清静	qīng jìng	quiet/peaceful and quiet
溫靜	温静	wēn jìng	quiet and gentle
皮劃艇靜水	皮划艇静水	pí huá tǐng jìng shuǐ	canoe-kayak flatwater
穩靜	稳静	wěn jìng	steady/calm
肅靜	肃静	sù jìng	silence/solemnly silent/peaceful/to pacify
膕靜脈	腘静脉	guó jìng mài	popliteal vein (anatomy)
袁靜	袁静	Yuán Jìng	Yuan Jing (1911-), writer, dramatist and film critic
郭居靜	郭居静	Guō Jū jìng	Lazzaro Cattaneo (1560-1640), Italian Jesuit missionary in China
鎮靜	镇静	zhèn jìng	calm/cool
鎮靜劑	镇静剂	zhèn jìng jì	tranquilizer
鎮靜藥	镇静药	zhèn jìng yào	sedative
閑靜	闲静	xián jìng	calm/tranquil
雅靜	雅静	yǎ jìng	elegant and calm/gentle/quiet
僻靜	僻静	pì jìng	lonely/secluded
靜一靜	静一静	jìng yī jìng	to put sth to rest/calm down a bit!
靜修	静修	jìng xiū	contemplation/meditation
靜候	静候	jìng hòu	to quietly wait
靜力學	静力学	jìng lì xué	statics
靜力平衡	静力平衡	jìng lì píng héng	static equilibrium
靜區	静区	jìng qū	silent zone/blind spot/dead space
靜坐	静坐	jìng zuò	to sit quietly/to meditate/to stage a sit-in
靜坐不動	静坐不动	jìng zuò bù dòng	to sit still and do nothing/to sit tight
靜坐不能	静坐不能	jìng zuò bù néng	akathisia (condition of restlessness, a side-effect of neuroleptic antipsychotic drug)/unable to sit still/hyperactivity/restlessness
靜坐抗議	静坐抗议	jìng zuò kàng yì	sit-in protest
靜坐抗議示威	静坐抗议示威	jìng zuò kàng yì shì wēi	sit-in protest demonstration
靜坐罷工	静坐罢工	jìng zuò bà gōng	sit-in strike
靜安區	静安区	Jìng ān qū	Jing'an district, central Shanghai
靜寂	静寂	jìng jì	quiet/silent
靜寧	静宁	Jìng níng	Jingning county in Pingliang 平涼|平凉[Píng liáng], Gansu
靜寧縣	静宁县	Jìng níng xiàn	Jingning county in Pingliang 平涼|平凉[Píng liáng], Gansu
靜山	静山	Jìng Shān	Cheng San (precinct in Ang Mo Kio, Singapore)/Cheng Shan GRC, formerly (until the 1997 elections) a group representation constituency (electoral division) in Singapore
靜岡縣	静冈县	Jìng gāng xiàn	Shizuoka prefecture southwest of Tokyo, Japan
靜心	静心	jìng xīn	meditation
靜恬	静恬	jìng tián	tranquil
靜悄悄	静悄悄	jìng qiāo qiāo	extremely quiet
靜態	静态	jìng tài	static/sedate/quiet/passive/(physics) static/steady-state/(electronics) quiescent
靜態存儲器	静态存储器	jìng tài cún chǔ qì	static memory
靜樂	静乐	Jìng lè	Jingle county in Xinzhou 忻州[Xīn zhōu], Shanxi
靜樂縣	静乐县	Jìng lè xiàn	Jingle county in Xinzhou 忻州[Xīn zhōu], Shanxi
靜止	静止	jìng zhǐ	still/immobile/static/stationary
靜止鋒	静止锋	jìng zhǐ fēng	stationary front (meteorology)
靜海	静海	Jìng hǎi	Jinghai county in Tianjin 天津[Tiān jīn]/Sea of Tranquillity (on the moon)
靜海縣	静海县	Jìng hǎi xiàn	Jinghai county in Tianjin 天津[Tiān jīn]
靜脈	静脉	jìng mài	vein
靜脈吸毒	静脉吸毒	jìng mài xī dú	intravenous drug/IV drug
靜脈曲張	静脉曲张	jìng mài qū zhāng	varicose veins
靜脈注入	静脉注入	jìng mài zhù rù	intravenous (medicine)
靜脈注射	静脉注射	jìng mài zhù shè	intravenous injection
靜脈點滴	静脉点滴	jìng mài diǎn dī	an intravenous drip
靜若寒蟬	静若寒蝉	jìng ruò hán chán	as quiet as a cicada in winter (idiom)
靜謐	静谧	jìng mì	quiet/still/tranquil
靜電	静电	jìng diàn	static electricity
靜音	静音	jìng yīn	quiet/silent/mute
靜養	静养	jìng yǎng	to convalesce/to recuperate/to fully relax
靜默	静默	jìng mò	silence/to stand in silence (in mourning)
靜點	静点	jìng diǎn	a hospital drip
風平浪靜	风平浪静	fēng píng làng jìng	lit. breeze is still, waves are quiet (idiom); tranquil environment/all is quiet/a dead calm (at sea)
風恬浪靜	风恬浪静	fēng tián làng jìng	lit. breeze is still, waves are quiet (idiom); tranquil environment/All is quiet./a dead calm (at sea)
黃以靜	黄以静	Huáng Yǐ jìng	Wong Yee Ching or Flossie Wong-Staal (1947-) Hong Kong American virologist, joint discoverer of the HIV AIDS virus
