療	疗	liáo	to treat/to cure/therapy
公費醫療	公费医疗	gōng fèi yī liáo	medical treatment at public expense
割股療親	割股疗亲	gē gǔ liǎo qīn	to cut flesh from one's thigh to nourish a sick parent (idiom)/filial thigh-cutting
化學治療	化学治疗	huà xué zhì liáo	chemotherapy
化學療法	化学疗法	huà xué liáo fǎ	chemotherapy
化療	化疗	huà liáo	chemotherapy
反射區治療	反射区治疗	fǎn shè ōu zhì liáo	reflexology (alternative medicine)
反射療法	反射疗法	fǎn shè liáo fǎ	reflexology (alternative medicine)
另類醫療	另类医疗	lìng lèi yī liáo	alternative medicine
國家醫療服務體系	国家医疗服务体系	Guó jiā Yī liáo Fú wù Tǐ xì	National Health Service (UK)
國際醫療中心	国际医疗中心	Guó jì Yī liáo Zhōng xīn	International Medical Center
基因治療	基因治疗	jī yīn zhì liáo	gene therapy
完形心理治療	完形心理治疗	wán xíng xīn lǐ zhì liáo	Gestalt psychotherapy
捏脊治療	捏脊治疗	niē jǐ zhì liáo	chiropractic (medicine)
放射治療	放射治疗	fàng shè zhì liáo	radiotherapy
放射療法	放射疗法	fàng shè liáo fǎ	radiotherapy
新型農村合作醫療	新型农村合作医疗	Xīn xíng Nóng cūn Hé zuò Yī liáo	New Rural Cooperative Medical Scheme/abbr. to 新農合|新农合
根管治療	根管治疗	gēn guǎn zhì liáo	root canal therapy (dentistry)
格式塔療法	格式塔疗法	Gé shì tǎ liáo fǎ	Gestalt therapy/holistic therapy
水療	水疗	shuǐ liáo	hydrotherapy/aquatherapy
治療	治疗	zhì liáo	to treat (an illness)/medical treatment/therapy
治療法	治疗法	zhì liáo fǎ	therapy
治療炎症	治疗炎症	zhì liáo yán zhèng	anti-inflammatory (medicine)
物理治療	物理治疗	wù lǐ zhì liáo	physiotherapy/physical therapy
物理療法	物理疗法	wù lǐ liáo fǎ	physiotherapy/physical therapy
理療	理疗	lǐ liáo	physiotherapy
理療師	理疗师	lǐ liáo shī	physiotherapist
住院治療	住院治疗	zhù yuàn zhì liáo	to receive hospital treatment/to be hospitalized
療傷	疗伤	liáo shāng	healing/to heal/to make healthy again
療效	疗效	liáo xiào	healing efficacy/healing effect
療法	疗法	liáo fǎ	therapy/treatment
療癒	疗愈	liáo yù	to heal/therapy
療程	疗程	liáo chéng	course of treatment
療養	疗养	liáo yǎng	to get well/to heal/to recuperate/to convalesce/convalescence/to nurse
療養所	疗养所	liáo yǎng suǒ	sanitorium/convalescent hospital
療養院	疗养院	liáo yǎng yuàn	sanatorium
精神療法	精神疗法	jīng shén liáo fǎ	psychotherapy/mental health treatment
緊急醫療	紧急医疗	jǐn jí yī liáo	emergency medical care
脊椎指壓治療師	脊椎指压治疗师	jǐ zhuī zhǐ yā zhì liáo shī	chiropractor
脊椎指壓治療醫生	脊椎指压治疗医生	jǐ zhuī zhǐ yā zhì liáo yī shēng	chiropractor
脊椎指壓療法	脊椎指压疗法	jǐ zhuī zhǐ yā liáo fǎ	chiropractic therapy
自然療法	自然疗法	zì rán liáo fǎ	natural therapy
芳香療法	芳香疗法	fāng xiāng liǎo fǎ	aromatherapy
藥療	药疗	yào liáo	medication/herbal remedy
蠟療	蜡疗	là liáo	wax therapy (used to treat arthritis etc)
補充醫療	补充医疗	bǔ chōng yī liáo	complementary medicine
診療	诊疗	zhěn liáo	diagnosis and treatment
足療	足疗	zú liáo	pedicure/foot massage
輔助醫療	辅助医疗	fǔ zhù yī liáo	complementary medicine
醫療	医疗	yī liáo	medical treatment
醫療保健	医疗保健	yī liáo bǎo jiàn	health care
醫療保險	医疗保险	yī liáo bǎo xiǎn	medical insurance
醫療器械	医疗器械	yī liáo qì xiè	medical equipment
醫療疏失	医疗疏失	yī liáo shū shī	medical negligence/medical malpractice
醫療經驗	医疗经验	yī liáo jīng yàn	medical expertise
醫療護理	医疗护理	yī liáo hù lǐ	health care
醫療費	医疗费	yī liáo fèi	medical expenses
電療	电疗	diàn liáo	electrotherapy
靈氣療法	灵气疗法	líng qì liáo fǎ	Reiki (palm healing)
順勢療法	顺势疗法	shùn shì liáo fǎ	homeopathy (alternative medicine)
食療	食疗	shí liáo	food therapy/treatment via food (TCM)
飲食療養	饮食疗养	yǐn shí liáo yǎng	diet
香燻療法	香熏疗法	xiāng xūn liáo fǎ	aromatherapy (alternative medicine)
高壓氧治療	高压氧治疗	gāo yā yǎng zhì liáo	hyperbaric medicine/hyperbaric oxygen therapy (HBOT)/also 高壓氧療法|高压氧疗法[gāo yā yǎng liáo fǎ]
高壓氧療法	高压氧疗法	gāo yā yǎng liáo fǎ	hyperbaric oxygen therapy (HBOT)/also 高壓氧治療|高压氧治疗[gāo yā yǎng zhì liáo]
鼻針療法	鼻针疗法	bí zhēn liáo fǎ	nose-acupuncture therapy
