錐	锥	zhuī	cone/awl/to bore
交通錐	交通锥	jiāo tōng zhuī	traffic cone
圓錐	圆锥	yuán zhuī	cone/conical/tapering
圓錐形	圆锥形	yuán zhuī xíng	conical/coniform
圓錐曲線	圆锥曲线	yuán zhuī qū xiàn	conic section
圓錐狀	圆锥状	yuán zhuī zhuàng	conical
圓錐體	圆锥体	yuán zhuī tǐ	cone
大沙錐	大沙锥	dà shā zhuī	(bird species of China) Swinhoe's snipe (Gallinago megala)
孤沙錐	孤沙锥	gū shā zhuī	(bird species of China) solitary snipe (Gallinago solitaria)
扇尾沙錐	扇尾沙锥	shān wěi shā zhuī	(bird species of China) common snipe (Gallinago gallinago)
改錐	改锥	gǎi zhuī	screwdriver/CL:把[bǎ]
林沙錐	林沙锥	lín shā zhuī	(bird species of China) wood snipe (Gallinago nemoricola)
毛錐	毛锥	máo zhuī	writing brush (old)/Castanopsis fordii, a species of evergreen tree common in the south of China whose calybia (nuts) resemble the tip of a writing brush
澳南沙錐	澳南沙锥	ào nán shā zhuī	(bird species of China) Latham's snipe (Gallinago hardwickii)
稜錐	棱锥	léng zhuī	pyramid (geometry)
紫錐花	紫锥花	zǐ zhuī huā	coneflower genus (Echinacea)
角錐	角锥	jiǎo zhuī	pyramid
貧無立錐	贫无立锥	pín wú lì zhuī	not even enough land to stand an awl (idiom); absolutely destitute
貧無立錐之地	贫无立锥之地	pín wú lì zhuī zhī dì	not even enough land to stand an awl (idiom); absolutely destitute
針尾沙錐	针尾沙锥	zhēn wěi shā zhuī	(bird species of China) pin-tailed snipe (Gallinago stenura)
三角錐	三角锥	sān jiǎo zhuī	triangular pyramid (math.)
錐套	锥套	zhuī tào	taper bushing
錐子	锥子	zhuī zi	awl/CL:把[bǎ]
錐尖	锥尖	zhuī jiān	point of an awl/sharp point
錐形	锥形	zhuī xíng	conical
錐形瓶	锥形瓶	zhuī xíng píng	Erlenmeyer flask
錐蟲病	锥虫病	zhuī chóng bìng	trypanosomiasis/trypanosomosis
錐面	锥面	zhuī miàn	cone
錐齒輪	锥齿轮	zhuī chǐ lún	pinion gear
非洲錐蟲病	非洲锥虫病	Fēi zhōu zhuī chóng bìng	sleeping sickness/African trypanosomiasis
頭懸梁，錐刺股	头悬梁，锥刺股	tóu xuán liáng , zhuī cì gǔ	lit. with his head attached to a beam and stabbing his thigh with an awl (idiom)/fig. to study assiduously and tirelessly
